Acronyme,Nom complet,Formule,Source,Type de métrique,Interprétation écologique
logistic_k,Pente logistique,NA,Ajustement logistique,Paramètre logistique,Taux de changement au point d'inflexion; valeurs élevées indiquent une transition abrupte; corrélée négativement avec WD
logistic_R2,Coefficient de détermination logistique,NA,Ajustement logistique,Qualité d'ajustement,Mesure de la qualité de l'ajustement du modèle logistique; valeurs proches de 1 indiquent un bon ajustement
IDV,Indice de Développement Vertical,"h50 * (h90 - h10) / h90",Métriques de base,Métrique combinée,Intègre la position médiane de transition et l'épaisseur relative de la canopée; élevé pour les forêts à WD élevée avec transition tardive et étalée
ROS,Ratio d'Occupation Stratifiée,"h50 / (P0 + 0.05)",Métriques de base,Métrique combinée,Rapport entre la hauteur médiane et la fermeture du sous-étage; élevé pour les forêts à WD élevée avec h50 élevé et P0 très faible
IAS,Indice d'Asymétrie Structurelle,"(h75 - h50) / (h50 - h25)",Métriques de base,Métrique combinée,Rapport entre les épaisseurs des demi-zones de transition; >1 indique une transition plus graduelle dans la partie supérieure; corrélé positivement avec WD
ISC,Indice de Stratification Complète,"((h75 - h25) * (Pmax - P0)) / (h50^2)",Métriques de base,Métrique combinée,Intègre l'épaisseur de transition et l'amplitude des proportions relativement à la hauteur médiane; élevé pour les forêts à stratification complexe
CPR,Coefficient de Position Relative,"(h50 / h90) * (1 - P0)",Métriques de base,Métrique combinée,Combine la position relative de la transition et la fermeture du sous-étage; élevé pour des forêts à WD élevée avec transition tardive et sous-étage fermé
ICT,Indice de Contraste de Transition,"Smax * h50 / (h90 - h10)",Métriques de base,Métrique combinée,Rapport entre l'intensité de transition et l'étalement vertical; caractérise l'abrupté de la transition relativement à l'épaisseur totale
IPN,Indice de Progression Normalisée,"(h90 - h10) / (h50^2)",Métriques de base,Métrique combinée,Étalement vertical normalisé par la hauteur médiane au carré; plus faible pour les forêts à transition tardive
ET,Épaisseur de Transition,"h90 - h10",Métriques de base,Métrique combinée,Mesure directe de l'épaisseur totale de la zone de transition; élevée pour les forêts à large gradient vertical; corrélée positivement avec WD
CSI,Indice de Structure de Canopée,"h50 * Smax",Métriques de base,Métrique combinée,Produit de la hauteur médiane et de la pente maximale; caractérise l'interaction entre position et rapidité de transition
GVN,Gradient Vertical Normalisé,"Smax / h90",Métriques de base,Métrique combinée,Pente maximale normalisée par la hauteur maximale; mesure la rapidité relative de transition; plus faible pour les forêts à WD élevée
RT,Ratio de Transition,"(h75 - h50) / (h50 - h25)",Métriques de base,Métrique combinée,Identique à IAS; rapport entre les épaisseurs des demi-zones de transition; >1 indique une transition plus graduelle dans la partie supérieure
HPSI,Harmonie Position-Pente,"1 - abs(hSmax - h50) / h50",Métriques de base,Métrique combinée,Mesure la correspondance entre la position de pente maximale et la hauteur médiane; proche de 1 quand hSmax ≈ h50
basal_thickness,Épaisseur de la zone basale,NA,Décomposition fonctionnelle,Métrique zonale,Épaisseur verticale de la zone basale (0-25% de trouées); élevée dans les forêts à sous-étage développé; corrélée positivement avec WD
transition_thickness,Épaisseur de la zone de transition,NA,Décomposition fonctionnelle,Métrique zonale,Épaisseur verticale de la zone de transition (25-75% de trouées); élevée dans les forêts à gradient vertical étendu; corrélée positivement avec WD
upper_thickness,Épaisseur de la zone supérieure,NA,Décomposition fonctionnelle,Métrique zonale,Épaisseur verticale de la zone supérieure (75-100% de trouées); élevée dans les forêts avec émergents; corrélée négativement avec WD
basal_norm_auc,AUC normalisée de la zone basale,NA,Décomposition fonctionnelle,Métrique zonale,Aire sous la courbe dans la zone basale normalisée par son épaisseur; élevée si la zone basale est ouverte; corrélée négativement avec WD
transition_norm_auc,AUC normalisée de la zone de transition,NA,Décomposition fonctionnelle,Métrique zonale,Aire sous la courbe dans la zone de transition normalisée par son épaisseur; caractérise la forme moyenne de la transition
upper_norm_auc,AUC normalisée de la zone supérieure,NA,Décomposition fonctionnelle,Métrique zonale,Aire sous la courbe dans la zone supérieure normalisée par son épaisseur; généralement élevée (proche de 0.9-1)
transition_slope,Pente de la zone de transition,NA,Décomposition fonctionnelle,Métrique zonale,Pente linéaire dans la zone de transition; caractérise la régularité du changement; plus faible pour les forêts à WD élevée
transition_r2,R² de la zone de transition,NA,Décomposition fonctionnelle,Métrique zonale,Linéarité de la transition; valeurs élevées indiquent une transition régulière; valeurs faibles indiquent des discontinuités
zone_heterogeneity_index,Indice d'hétérogénéité zonale,"transition_norm_auc / mean(basal_norm_auc, upper_norm_auc)",Décomposition fonctionnelle,Métrique zonale,Contraste entre zones; élevé si la transition a une AUC plus grande que la moyenne des zones basale et supérieure
height_max_d1,Hauteur à pente maximale,NA,Analyse différentielle,Métrique différentielle,Hauteur du point d'inflexion (dérivée première maximale); similaire à h50; corrélée positivement avec WD
max_d1,Pente maximale,NA,Analyse différentielle,Métrique différentielle,Valeur maximale de la dérivée première; intensité maximale de changement; corrélée négativement avec WD
height_max_d2,Hauteur à accélération maximale,NA,Analyse différentielle,Métrique différentielle,Hauteur où la courbe accélère le plus (début de la transition principale); plus élevée pour les forêts à WD élevée
max_d2,Accélération maximale,NA,Analyse différentielle,Métrique différentielle,Valeur maximale de la dérivée seconde; intensité de l'accélération; caractérise la rapidité d'entrée dans la transition
height_min_d2,Hauteur à décélération maximale,NA,Analyse différentielle,Métrique différentielle,Hauteur où la courbe décélère le plus (fin de la transition principale); plus élevée pour les forêts à WD élevée
min_d2,Décélération maximale,NA,Analyse différentielle,Métrique différentielle,Valeur minimale de la dérivée seconde; intensité de la décélération; caractérise la rapidité de sortie de la transition
asymmetry_ratio,Ratio d'asymétrie,"(height_min_d2 - height_max_d1) / (height_max_d1 - height_max_d2)",Analyse différentielle,Métrique différentielle,Rapport entre la phase de décélération et d'accélération; >1 indique une décélération plus longue; corrélé positivement avec WD
acceleration_phase,Durée de la phase d'accélération,"height_max_d1 - height_max_d2",Analyse différentielle,Métrique différentielle,Longueur de la phase d'accélération; caractérise la période d'entrée dans la transition principale
deceleration_phase,Durée de la phase de décélération,"height_min_d2 - height_max_d1",Analyse différentielle,Métrique différentielle,Longueur de la phase de décélération; caractérise la période de sortie de la transition principale; corrélée positivement avec WD
phase_ratio,Ratio des phases,"deceleration_phase / acceleration_phase",Analyse différentielle,Métrique différentielle,Rapport entre les durées des phases de décélération et d'accélération; >1 indique une transition asymétrique; corrélé positivement avec WD
roughness_small,Rugosité à petite échelle,NA,Analyse multi-échelle,Métrique multi-échelle,Variance des résidus à l'échelle de 2m; caractérise l'hétérogénéité fine; corrélée négativement avec WD
roughness_medium,Rugosité à échelle moyenne,NA,Analyse multi-échelle,Métrique multi-échelle,Variance des résidus à l'échelle de 10m; caractérise l'hétérogénéité à l'échelle des couronnes
roughness_large,Rugosité à grande échelle,NA,Analyse multi-échelle,Métrique multi-échelle,Variance des résidus à l'échelle de 20m; caractérise l'hétérogénéité à l'échelle des groupes d'arbres
dominant_height_small,Hauteur dominante à petite échelle,NA,Analyse multi-échelle,Métrique multi-échelle,Hauteur où les variations à petite échelle (2m) sont maximales; révèle les zones de micro-hétérogénéité
dominant_height_medium,Hauteur dominante à échelle moyenne,NA,Analyse multi-échelle,Métrique multi-échelle,Hauteur où les variations à échelle moyenne (10m) sont maximales; souvent proche de la transition principale
dominant_height_large,Hauteur dominante à grande échelle,NA,Analyse multi-échelle,Métrique multi-échelle,Hauteur où les variations à grande échelle (20m) sont maximales; révèle les grandes structures de la canopée
energy_slope,Pente spectrale d'énergie,NA,Analyse multi-échelle,Métrique multi-échelle,Pente de la relation log-log entre énergie et échelle; caractérise la distribution d'énergie entre échelles
energy_ratio_small_large,Ratio d'énergie petite/grande échelle,"roughness_small / roughness_large",Analyse multi-échelle,Métrique multi-échelle,Rapport entre l'énergie à petite et grande échelle; élevé dans les forêts à détails fins; corrélé négativement avec WD
anisotropy_mean,Anisotropie moyenne,NA,Analyse d'anisotropie,Métrique d'anisotropie,Variabilité horizontale moyenne sur toutes les hauteurs; caractérise l'hétérogénéité horizontale globale
anisotropy_max,Anisotropie maximale,NA,Analyse d'anisotropie,Métrique d'anisotropie,Variabilité horizontale maximale; intensité maximale de l'hétérogénéité horizontale; corrélée positivement avec WD
height_max_anisotropy,Hauteur d'anisotropie maximale,NA,Analyse d'anisotropie,Métrique d'anisotropie,Hauteur où l'anisotropie est maximale; souvent dans la zone de transition; corrélée positivement avec WD
anisotropy_transition,Anisotropie dans la zone de transition,NA,Analyse d'anisotropie,Métrique d'anisotropie,Anisotropie moyenne dans la zone de transition (25-75%); caractérise l'hétérogénéité horizontale de la transition; corrélée positivement avec WD
anisotropy_ratio,Ratio d'anisotropie,"anisotropy_max / anisotropy_mean",Analyse d'anisotropie,Métrique d'anisotropie,Rapport entre anisotropie maximale et moyenne; mesure la concentration de l'hétérogénéité horizontale
ISA,Indice de Stratification Asymétrique,"(height_min_d2 / h50) * phase_ratio * (1 - max_d1/max_pente_ref)",Métriques optimisées,Indice optimisé,Combine position de décélération relative, asymétrie des phases et inverse de la pente normalisée; optimisé pour maximiser la corrélation avec WD
ICV,Indice de Complexité Verticale,"(basal_thickness / upper_thickness) * anisotropy_max * (1 / energy_ratio_small_large)",Métriques optimisées,Indice optimisé,Combine rapport des épaisseurs zonales, anisotropie maximale et inverse du ratio d'énergie multi-échelle; capture la stratification et l'organisation multi-échelle
IDT,Indice de Différenciation Transitionnelle,"h50 * (transition_thickness / max_transition_thickness) * (1 - basal_norm_auc)",Métriques optimisées,Indice optimisé,Combine hauteur médiane, épaisseur relative de transition et fermeture de la zone basale; intègre position, étalement et sous-étage
log_transition_thickness,Log de l'épaisseur de transition,"log(transition_thickness)",Métriques optimisées,Transformation,Transformation logarithmique pour linéariser la relation avec WD; plus sensible aux variations relatives qu'absolues
log_max_d1,Log de la pente maximale,"log(max_d1)",Métriques optimisées,Transformation,Transformation logarithmique de la pente maximale; peut améliorer la corrélation avec WD pour les relations non-linéaires
h50_relatif,h50 relatif,"h50 / h90",Métriques optimisées,Transformation,Hauteur médiane normalisée par la hauteur maximale; réduit l'effet des différences de hauteur absolue entre sites
basal_thickness_relatif,Épaisseur basale relative,"basal_thickness / h90",Métriques optimisées,Transformation,Épaisseur de la zone basale normalisée par la hauteur maximale; mesure la proportion verticale occupée par le sous-étage
ratio_h50_h90,Ratio h50/h90,"h50 / h90",Métriques optimisées,Transformation,Rapport entre hauteur médiane et maximale; indique la position relative de la transition principale
ratio_basal_transition,Ratio basal/transition,"basal_thickness / transition_thickness",Métriques optimisées,Transformation,Rapport entre les épaisseurs des zones basale et de transition; caractérise la distribution verticale de la structure
h50_squared,h50 au carré,"h50^2",Métriques optimisées,Transformation,Transformation quadratique de h50; peut capturer des relations non-linéaires avec WD
anisotropy_squared,Anisotropie au carré,"anisotropy_max^2",Métriques optimisées,Transformation,Transformation quadratique de l'anisotropie maximale; peut amplifier les différences entre forêts à haute et basse WD
