Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
RABI;RAB11h;RABI;1ha;598051.2062;9787054.498;597973.1632;9787117.022;598113.7305;9787132.541;598035.6874;9787195.065;337.5;297.4;389.9;295.8;254.5;354.7;287.8;253.4;332.7;26.16684084;25.66999817;0.267880364;8.946640982;25.04948588;0.647456918;480
RABI;RAB12h;RABI;1ha;597973.1632;9787117.022;597895.1201;9787179.547;598035.6874;9787195.065;597957.6444;9787257.59;358.1;321.6;399.8;311.5;275.2;354.3;310.1;280.8;344.8;25.13946299;26.04899979;0.303081849;9.410276385;27.01933202;0.622537955;398
RABI;RAB13h;RABI;1ha;597895.1201;9787179.547;597817.0771;9787242.071;597957.6444;9787257.59;597879.6014;9787320.114;293;266.4;325.3;250.9;224.9;281;246.4;224.4;271;21.89551843;22.12916756;0.417898522;8.289272009;24.00535871;0.61067074;429
RABI;RAB14h;RABI;1ha;597817.0771;9787242.071;597739.0341;9787304.595;597879.6014;9787320.114;597801.5583;9787382.638;292.1;266.2;321.2;247.8;221.4;278.6;245.6;224.3;270.6;22.15263627;22.89083672;0.376200961;7.740430291;22.42958689;0.661744;443
RABI;RAB15h;RABI;1ha;597739.0341;9787304.595;597660.991;9787367.119;597801.5583;9787382.638;597723.5153;9787445.162;361.1;324.1;404.1;313;273.3;355;313.1;281.9;347.3;26.53140195;26.07125092;0.293770623;10.49527227;27.2681116;0.64358294;501
RABI;RAB16h;RABI;1ha;598113.7305;9787132.541;598035.6874;9787195.065;598176.2547;9787210.584;598098.2117;9787273.108;298.8;256.8;356.9;262.8;220.2;326.9;253.7;219.3;300.7;20.47809768;19.54999924;0.5244;7.092368096;22.70916036;0.654285547;494
RABI;RAB17h;RABI;1ha;598035.6874;9787195.065;597957.6444;9787257.59;598098.2117;9787273.108;598020.1687;9787335.633;309.3;279.4;343.8;265.6;236.4;299.1;265.9;241.4;293.1;25.01395124;25.2412529;0.268139117;8.00374304;23.61261251;0.662039721;441
RABI;RAB18h;RABI;1ha;597957.6444;9787257.59;597879.6014;9787320.114;598020.1687;9787335.633;597942.1256;9787398.157;303.3;259.4;358.6;267.9;223.2;327.6;262.5;224;312.2;23.21920766;21.19333267;0.437581339;9.09606618;22.82946844;0.652341983;461
RABI;RAB19h;RABI;1ha;597879.6014;9787320.114;597801.5583;9787382.638;597942.1256;9787398.157;597864.0826;9787460.681;308;276.5;348.6;267.1;235.3;304.9;255.1;229.6;284.6;22.37313713;21.84214401;0.42196243;9.485533447;24.74264731;0.616570171;450
RABI;RAB20h;RABI;1ha;597801.5583;9787382.638;597723.5153;9787445.162;597864.0826;9787460.681;597786.0395;9787523.205;409;356.9;473.7;363.7;308.1;440.4;348.5;306;397.3;25.76396635;25.51499939;0.304230423;9.36304278;29.07130096;0.650165805;484
RABI;RAB21h;RABI;1ha;598176.2547;9787210.584;598098.2117;9787273.108;598238.779;9787288.627;598160.736;9787351.151;346.6;306.3;395.5;303.1;260.5;359;301.2;267.9;337.6;25.21339508;25.06999969;0.325965193;9.398201132;25.06129434;0.661080554;459
RABI;RAB22h;RABI;1ha;598098.2117;9787273.108;598020.1687;9787335.633;598160.736;9787351.151;598082.6929;9787413.676;282.7;258.9;309.4;241.5;218.1;269.3;246.7;226;269;25.7022501;26.78667068;0.225522552;7.674384187;23.97574999;0.607976629;454
RABI;RAB23h;RABI;1ha;598020.1687;9787335.633;597942.1256;9787398.157;598082.6929;9787413.676;598004.6499;9787476.2;339;294.9;390.7;295.4;255;348.8;296.1;262.6;339.5;26.41575983;26.18856812;0.31964018;11.2586189;23.52569171;0.687232915;449
RABI;RAB24h;RABI;1ha;597942.1256;9787398.157;597864.0826;9787460.681;598004.6499;9787476.2;597926.6069;9787538.724;576.8;509.1;658.6;513.9;444.9;602.2;511.8;453.5;577;33.11078125;34.3966713;0.101230369;9.504205809;36.64637278;0.683217449;414
RABI;RAB25h;RABI;1ha;597864.0826;9787460.681;597786.0395;9787523.205;597926.6069;9787538.724;597848.5638;9787601.248;344.8;308.6;388.5;300.3;263.8;349.5;293.4;263.1;331.2;24.79469412;24.42222595;0.323261631;9.903441674;26.31970169;0.629980683;437
RABI;RAB001q;RABI;0.25ha;597926.1577;9786898.412;597887.1362;9786929.674;597957.4198;9786937.433;597918.3983;9786968.696;294.5;242.3;365.4;253.2;201.8;323.7;252.6;206.8;311.2;25.07172032;22.82000351;0.415132106;10.12867407;23.05233459;0.64900192;464
RABI;RAB002q;RABI;0.25ha;597887.1362;9786929.674;597848.1146;9786960.936;597918.3983;9786968.696;597879.3768;9786999.958;192.8;165.2;230;163;137.7;200.3;161.2;139.3;187.8;17.43617566;16.62999725;0.734080897;5.61754478;17.74485885;0.626681191;460
RABI;RAB003q;RABI;0.25ha;597848.1146;9786960.936;597809.0931;9786992.198;597879.3768;9786999.958;597840.3553;9787031.22;429.7;356.3;525.3;367.3;300.8;455.9;368.6;315;435.5;25.36036823;25.04000473;0.209683874;8.106013191;29.10783925;0.706483219;436
RABI;RAB004q;RABI;0.25ha;597809.0931;9786992.198;597770.0716;9787023.46;597840.3553;9787031.22;597801.3337;9787062.482;246.6;179.9;362.7;223.8;152.5;359.4;215.3;161.2;296.1;23.83215828;21.59499931;0.456434852;10.52323456;20.05363728;0.621797927;524
RABI;RAB005q;RABI;0.25ha;597770.0716;9787023.46;597731.0501;9787054.723;597801.3337;9787062.482;597762.3122;9787093.744;330.3;284.5;379.7;278.6;236.7;326.9;287.5;252.6;333.7;22.22142017;22.82332993;0.415900919;8.570414959;26.84871055;0.649710929;552
RABI;RAB006q;RABI;0.25ha;597731.0501;9787054.723;597692.0286;9787085.985;597762.3122;9787093.744;597723.2907;9787125.006;268.3;229;316.5;227.4;191.6;273.4;231.2;198.3;271.5;24.92494723;26.18000031;0.244;7.083240679;22.01308318;0.6489909;480
RABI;RAB007q;RABI;0.25ha;597692.0286;9787085.985;597653.007;9787117.247;597723.2907;9787125.006;597684.2692;9787156.268;414.6;350.8;490.8;353.4;299.8;425.7;369.2;315.6;431.1;27.0905463;28.08000183;0.137765318;6.875513986;32.50697339;0.622375239;504
RABI;RAB008q;RABI;0.25ha;597653.007;9787117.247;597613.9855;9787148.509;597684.2692;9787156.268;597645.2477;9787187.531;328.5;280;386;276.3;234.9;325;282.7;244;326.8;29.30317598;29.04000092;0.026767879;4.975360625;24.70630773;0.655537555;368
RABI;RAB009q;RABI;0.25ha;597613.9855;9787148.509;597574.964;9787179.771;597645.2477;9787187.531;597606.2261;9787218.793;485;385.2;628.7;430;325.6;574.9;410.3;330.5;524.9;30.55247562;29.9299984;0.04763811;7.130384296;35.82453607;0.595349278;420
RABI;RAB010q;RABI;0.25ha;597574.964;9787179.771;597535.9425;9787211.033;597606.2261;9787218.793;597567.2046;9787250.055;495.8;360.4;683.5;472.7;316.3;695.4;441;325.5;603.3;27.95964497;28.82000351;0.232679215;8.433704496;35.7867867;0.601958574;444
RABI;RAB011q;RABI;0.25ha;597957.4198;9786937.433;597918.3983;9786968.696;597988.682;9786976.455;597949.6604;9787007.717;233.4;197.9;274.9;196.5;165.5;231.8;200.3;170;235.6;20.23338968;20.25500107;0.4744;5.901842228;18.75077482;0.665222768;388
RABI;RAB012q;RABI;0.25ha;597918.3983;9786968.696;597879.3768;9786999.958;597949.6604;9787007.717;597910.6389;9787038.979;337.3;246.5;475.2;301.5;203.7;456.2;228.7;184.7;296.7;15.90823565;14.88047791;0.776621297;5.429320167;23.63738711;0.695261666;504
RABI;RAB013q;RABI;0.25ha;597879.3768;9786999.958;597840.3553;9787031.22;597910.6389;9787038.979;597871.6174;9787070.241;358.7;277.8;465.3;314.9;237.2;427.8;304.7;232.8;405.7;21.06781029;20.16000366;0.490211746;8.266108085;24.47187894;0.689325926;444
RABI;RAB014q;RABI;0.25ha;597840.3553;9787031.22;597801.3337;9787062.482;597871.6174;9787070.241;597832.5959;9787101.504;270.9;225.4;330.3;230.5;187.5;288.2;229.6;195.7;270.8;25.86355898;26.01166534;0.267921506;7.498603049;21.40490539;0.6827824;588
RABI;RAB015q;RABI;0.25ha;597801.3337;9787062.482;597762.3122;9787093.744;597832.5959;9787101.504;597793.5744;9787132.766;372;316.3;443;318.2;266.6;403;326.4;275.7;399.6;26.59817558;27.86999893;0.173007609;7.00631928;28.97496873;0.679724226;580
RABI;RAB016q;RABI;0.25ha;597762.3122;9787093.744;597723.2907;9787125.006;597793.5744;9787132.766;597754.5528;9787164.028;404;339.5;494.8;355.6;281.2;461;367.6;305.3;444;28.47644833;29.95000458;0.18832467;8.956993761;32.86408137;0.605845487;552
RABI;RAB017q;RABI;0.25ha;597723.2907;9787125.006;597684.2692;9787156.268;597754.5528;9787164.028;597715.5313;9787195.29;267.5;221.8;323;224.6;185.7;276.7;232.3;196.7;278.3;24.47578156;25.24928856;0.258180367;7.650162302;19.63026683;0.70287378;376
RABI;RAB018q;RABI;0.25ha;597684.2692;9787156.268;597645.2477;9787187.531;597715.5313;9787195.29;597676.5098;9787226.552;363.1;306.5;432.8;311.8;253.3;382.2;315.9;264.2;373.8;26.38938086;28.5700016;0.2064;8.083748276;28.50136422;0.623328643;472
RABI;RAB019q;RABI;0.25ha;597645.2477;9787187.531;597606.2261;9787218.793;597676.5098;9787226.552;597637.4883;9787257.814;235.8;193.3;288.9;200;160.6;251.7;205.3;168.1;254;23.24542647;22.75000381;0.292350821;7.314611217;18.63215143;0.684480989;468
RABI;RAB020q;RABI;0.25ha;597606.2261;9787218.793;597567.2046;9787250.055;597637.4883;9787257.814;597598.4667;9787289.076;254.3;214.6;307.9;213.9;178.4;263.2;225.9;190.9;269.7;24.56920384;24.70583534;0.278622898;7.205737735;20.48125202;0.656043778;480
RABI;RAB021q;RABI;0.25ha;597988.682;9786976.455;597949.6604;9787007.717;598019.9441;9787015.477;597980.9226;9787046.739;277.7;240.4;322.4;234.6;197.9;276.2;243.4;211.8;279.6;25.48666316;24.09499931;0.2616;7.536700617;23.27022917;0.642393852;496
RABI;RAB022q;RABI;0.25ha;597949.6604;9787007.717;597910.6389;9787038.979;597980.9226;9787046.739;597941.901;9787078.001;414.6;341.4;510.1;354.6;285.7;446.2;376.9;314.2;453.9;29.64401142;32.15333557;0.151176705;7.802207945;28.42246312;0.699583821;524
RABI;RAB023q;RABI;0.25ha;597910.6389;9787038.979;597871.6174;9787070.241;597941.901;9787078.001;597902.8795;9787109.263;424.6;328.6;555.1;371.8;281.1;502.7;348.9;270.1;452.3;22.14229663;22.22800064;0.43737495;8.381725245;25.05795562;0.785283535;480
RABI;RAB024q;RABI;0.25ha;597871.6174;9787070.241;597832.5959;9787101.504;597902.8795;9787109.263;597863.858;9787140.525;734.1;565.1;955.1;678.3;501.8;934.9;650.6;503.4;854.1;29.75300616;32.81000137;0.186549239;8.801967381;44.61237811;0.701510569;548
RABI;RAB025q;RABI;0.25ha;597832.5959;9787101.504;597793.5744;9787132.766;597863.858;9787140.525;597824.8365;9787171.787;284.2;251.5;319.5;236.9;207.3;269.6;242.4;217.2;271.8;26.22921794;24.68000031;0.238285943;8.969643141;23.62182994;0.690764048;588
RABI;RAB026q;RABI;0.25ha;597793.5744;9787132.766;597754.5528;9787164.028;597824.8365;9787171.787;597785.815;9787203.049;182.2;155.4;214.3;153.5;132;183.5;156.9;137.1;183.1;16.77540396;16.00000381;0.725090036;6.494443987;17.67633443;0.609760326;504
RABI;RAB027q;RABI;0.25ha;597754.5528;9787164.028;597715.5313;9787195.29;597785.815;9787203.049;597746.7934;9787234.311;216.6;182.4;261.8;184.8;154.9;223.4;184.8;161.8;215.4;17.79023499;17.76749802;0.565547562;7.97905289;20.25174925;0.596286127;468
RABI;RAB028q;RABI;0.25ha;597715.5313;9787195.29;597676.5098;9787226.552;597746.7934;9787234.311;597707.7719;9787265.574;375.8;304.5;474.8;323.8;257.5;428.1;339;273.8;418.9;26.67541968;27.31500244;0.183379944;7.622828445;27.44232705;0.663546722;488
RABI;RAB029q;RABI;0.25ha;597676.5098;9787226.552;597637.4883;9787257.814;597707.7719;9787265.574;597668.7504;9787296.836;517.2;417.4;661.2;458;352.2;628.6;478.8;386.7;611.8;31.110825;31.07100105;0.0576;7.368643959;35.21678555;0.667837929;484
RABI;RAB030q;RABI;0.25ha;597637.4883;9787257.814;597598.4667;9787289.076;597668.7504;9787296.836;597629.7289;9787328.098;209;168.1;272.1;178.8;141.8;236.4;183.8;149.6;232.6;23.99397903;23.12425232;0.318254604;8.681029022;18.13597457;0.623671216;456
RABI;RAB031q;RABI;0.25ha;598019.9441;9787015.477;597980.9226;9787046.739;598051.2062;9787054.498;598012.1847;9787085.76;353;285.6;453.6;311.1;245.3;407.8;313.1;255;398.9;25.55390414;24.68000031;0.2292;7.399252218;29.27359911;0.577694079;480
RABI;RAB032q;RABI;0.25ha;597980.9226;9787046.739;597941.901;9787078.001;598012.1847;9787085.76;597973.1632;9787117.022;305;259.3;359.5;259.6;214.9;314.4;270.6;228.5;319.2;30.48361395;30.76999664;0.068372651;6.875868379;23.70511042;0.65518718;436
RABI;RAB033q;RABI;0.25ha;597941.901;9787078.001;597902.8795;9787109.263;597973.1632;9787117.022;597934.1417;9787148.284;530.5;415.7;667;470.2;355;622.9;472.4;377.5;598.7;33.50915917;35.57999992;0.102717826;8.946572641;31.57244697;0.718807147;420
RABI;RAB034q;RABI;0.25ha;597902.8795;9787109.263;597863.858;9787140.525;597934.1417;9787148.284;597895.1201;9787179.547;221.3;185.1;268.2;188.3;157.9;231;180.8;154.3;213.4;24.39302101;21.6866684;0.408636545;8.840869118;19.01583414;0.634142785;456
RABI;RAB035q;RABI;0.25ha;597863.858;9787140.525;597824.8365;9787171.787;597895.1201;9787179.547;597856.0986;9787210.809;256.1;219.7;303.7;215;180.5;263.4;217.7;188.7;258.5;19.82273027;18.89250183;0.586469175;7.150561154;20.76051133;0.678432799;504
RABI;RAB036q;RABI;0.25ha;597824.8365;9787171.787;597785.815;9787203.049;597856.0986;9787210.809;597817.0771;9787242.071;253.8;214.5;305.9;214.4;177.9;261.2;220.8;185.1;264.1;21.32357343;18.29499817;0.543382647;10.29858286;20.55393277;0.660835161;492
RABI;RAB037q;RABI;0.25ha;597785.815;9787203.049;597746.7934;9787234.311;597817.0771;9787242.071;597778.0556;9787273.333;390.2;294.5;532;348.5;256.1;501.4;343.3;261.2;478.1;18.68191135;17.6855011;0.592473979;8.549338757;26.93514205;0.687314259;512
RABI;RAB038q;RABI;0.25ha;597746.7934;9787234.311;597707.7719;9787265.574;597778.0556;9787273.333;597739.0341;9787304.595;286.4;246.3;334.8;244;207.8;292.2;253.2;222;295.9;24.00717723;23.58200264;0.332265813;7.36386969;26.25614963;0.573383553;492
RABI;RAB039q;RABI;0.25ha;597707.7719;9787265.574;597668.7504;9787296.836;597739.0341;9787304.595;597700.0125;9787335.857;287;238.6;357.8;244.2;198.7;310.3;248.7;206;305.6;21.64886316;23.72000122;0.419832067;10.88320917;24.52774588;0.610659978;516
RABI;RAB040q;RABI;0.25ha;597668.7504;9787296.836;597629.7289;9787328.098;597700.0125;9787335.857;597660.991;9787367.119;461;314.7;678.9;435.3;282.2;663.3;381.9;265.3;556.4;22.33485322;22.18750191;0.391373802;10.45526208;27.77209689;0.695607012;372
RABI;RAB041q;RABI;0.25ha;598051.2062;9787054.498;598012.1847;9787085.76;598082.4684;9787093.52;598043.4468;9787124.782;383.4;283.6;542;353.4;246.6;535.9;311.4;233.5;432.3;24.54223545;22.93799973;0.341326938;8.633703535;29.76800411;0.594830743;528
RABI;RAB042q;RABI;0.25ha;598012.1847;9787085.76;597973.1632;9787117.022;598043.4468;9787124.782;598004.4253;9787156.044;309.3;248.7;392.5;270.1;212.1;349.7;257;208;316.8;31.08358757;31.26499748;0.064051241;7.253549569;24.50358389;0.596681893;396
RABI;RAB043q;RABI;0.25ha;597973.1632;9787117.022;597934.1417;9787148.284;598004.4253;9787156.044;597965.4038;9787187.306;353.7;287.8;442.4;308.6;238.9;398.6;300;244.9;374.7;25.05725604;26.4283371;0.31184948;10.21455902;25.4599758;0.63354883;332
RABI;RAB044q;RABI;0.25ha;597934.1417;9787148.284;597895.1201;9787179.547;597965.4038;9787187.306;597926.3823;9787218.568;360.1;293.5;451.7;315.7;251.1;410.8;318.3;257.6;390.7;29.00186621;31.47333145;0.182;9.470532082;27.8947698;0.593344376;352
RABI;RAB045q;RABI;0.25ha;597895.1201;9787179.547;597856.0986;9787210.809;597926.3823;9787218.568;597887.3607;9787249.83;278.2;235.5;331.5;237.1;197.7;286;230.2;197.6;271.3;24.55390862;24.54000092;0.287709497;7.488937394;23.53483924;0.6059689;440
RABI;RAB046q;RABI;0.25ha;597856.0986;9787210.809;597817.0771;9787242.071;597887.3607;9787249.83;597848.3392;9787281.092;255.3;215.2;302.4;217.2;182.8;263.6;215;181.4;258.8;23.72943139;23.96999931;0.346;7.903170977;21.24367886;0.626144634;412
RABI;RAB047q;RABI;0.25ha;597817.0771;9787242.071;597778.0556;9787273.333;597848.3392;9787281.092;597809.3177;9787312.354;380.9;317.4;466.3;324.5;267.7;407.1;319.4;273;381.1;25.43335125;25.26856613;0.181017221;6.756773867;27.78118866;0.668531117;452
RABI;RAB048q;RABI;0.25ha;597778.0556;9787273.333;597739.0341;9787304.595;597809.3177;9787312.354;597770.2962;9787343.617;342.7;286.7;408.6;289.8;238.6;358.7;292.4;247.4;352.8;23.68473133;24.96250153;0.241793435;7.024774729;24.99577407;0.666574793;400
RABI;RAB049q;RABI;0.25ha;597739.0341;9787304.595;597700.0125;9787335.857;597770.2962;9787343.617;597731.2747;9787374.879;264.7;220.4;320.5;224.8;184.1;280.1;230.9;191.6;278.8;21.16220816;19.35625076;0.51521217;10.28384632;20.9917357;0.670951767;516
RABI;RAB050q;RABI;0.25ha;597700.0125;9787335.857;597660.991;9787367.119;597731.2747;9787374.879;597692.2531;9787406.141;408.2;332.4;513;352.4;278.5;451.6;343.1;284.7;426.8;27.39954656;25.60678864;0.200239808;8.662121689;30.52645997;0.652664764;572
RABI;RAB051q;RABI;0.25ha;598082.4684;9787093.52;598043.4468;9787124.782;598113.7305;9787132.541;598074.709;9787163.803;352.5;295.1;426;297.8;245;373.9;306.3;257.7;374.1;22.87548416;23.94000244;0.308523409;7.874342504;24.68463074;0.710316032;504
RABI;RAB052q;RABI;0.25ha;598043.4468;9787124.782;598004.4253;9787156.044;598074.709;9787163.803;598035.6874;9787195.065;304.9;236.5;406.1;262.1;197.8;365.5;276.5;212.2;373;26.16997523;24.72999954;0.357485989;9.667017705;21.24172479;0.706731399;492
RABI;RAB053q;RABI;0.25ha;598004.4253;9787156.044;597965.4038;9787187.306;598035.6874;9787195.065;597996.6659;9787226.327;267;224.4;322.4;228.3;189;279.2;236.1;198.6;280.6;23.18102926;23.23333549;0.402722178;9.463795015;22.15803626;0.622677554;432
RABI;RAB054q;RABI;0.25ha;597965.4038;9787187.306;597926.3823;9787218.568;597996.6659;9787226.327;597957.6444;9787257.59;451.6;372.8;553.9;393.6;310.5;500.7;386.1;319.3;476.2;23.31460806;24.64199829;0.315852682;6.972503599;32.56454622;0.638841525;476
RABI;RAB055q;RABI;0.25ha;597926.3823;9787218.568;597887.3607;9787249.83;597957.6444;9787257.59;597918.6229;9787288.852;393.1;320.4;491.6;342.2;271.8;431.9;329.8;267;408.3;20.42775699;21.06000137;0.467039553;8.251117356;29.44977334;0.610228632;396
RABI;RAB056q;RABI;0.25ha;597887.3607;9787249.83;597848.3392;9787281.092;597918.6229;9787288.852;597879.6014;9787320.114;245.4;207.1;294.3;207.2;176.2;245.9;210.5;181.2;249.9;18.86998852;18.31000137;0.570914902;8.158514781;21.79314341;0.601262028;468
RABI;RAB057q;RABI;0.25ha;597848.3392;9787281.092;597809.3177;9787312.354;597879.6014;9787320.114;597840.5798;9787351.376;202.9;163.7;252.7;172.8;136.6;225.8;173.4;142.5;215;18.05979747;18.24500084;0.6052;7.250562999;16.30013778;0.676222047;436
RABI;RAB058q;RABI;0.25ha;597809.3177;9787312.354;597770.2962;9787343.617;597840.5798;9787351.376;597801.5583;9787382.638;242;206;287.1;204.1;168.1;242.4;197.3;170.6;231.9;21.43696875;20.45333481;0.476571886;7.858933835;20.64124705;0.635326133;484
RABI;RAB059q;RABI;0.25ha;597770.2962;9787343.617;597731.2747;9787374.879;597801.5583;9787382.638;597762.5368;9787413.9;404.1;323.6;520.7;357.9;277.6;468;372.5;299.2;479.8;32.08718962;32.3512516;0.150679456;10.99108236;31.07707435;0.614893555;512
RABI;RAB060q;RABI;0.25ha;597731.2747;9787374.879;597692.2531;9787406.141;597762.5368;9787413.9;597723.5153;9787445.162;367.5;300.4;443.6;316.7;257.6;392.9;305.9;249.4;368.2;25.46680312;26.13999939;0.309323729;8.80545169;26.47717638;0.64508714;404
RABI;RAB061q;RABI;0.25ha;598113.7305;9787132.541;598074.709;9787163.803;598144.9926;9787171.563;598105.9711;9787202.825;409.2;290.9;618.9;374.1;251;614.4;355.4;250.1;521.3;19.41008067;18.38285828;0.589528377;7.013018218;27.84272303;0.692484917;568
RABI;RAB062q;RABI;0.25ha;598074.709;9787163.803;598035.6874;9787195.065;598105.9711;9787202.825;598066.9496;9787234.087;175.1;144.7;212.5;146.4;121.2;178.2;140.2;118.4;168;21.37878177;20.89500237;0.4492;6.923102223;14.54179151;0.668908685;420
RABI;RAB063q;RABI;0.25ha;598035.6874;9787195.065;597996.6659;9787226.327;598066.9496;9787234.087;598027.9281;9787265.349;321.4;267.9;400.4;272.2;221.1;338.3;281.6;231.5;343;24.22471756;24.61999893;0.299959952;8.127085904;23.58327003;0.675210009;448
RABI;RAB064q;RABI;0.25ha;597996.6659;9787226.327;597957.6444;9787257.59;598027.9281;9787265.349;597988.9065;9787296.611;369.3;297.6;470.4;326.4;257.2;423.2;311.7;258;392.2;25.51136432;25.85000229;0.318817419;9.400078032;29.07903713;0.624782719;496
RABI;RAB065q;RABI;0.25ha;597957.6444;9787257.59;597918.6229;9787288.852;597988.9065;9787296.611;597949.885;9787327.873;272.3;206;374.8;233.1;170.8;332.7;234.9;177.3;327.8;24.11110885;22.54000473;0.408089708;9.120770515;19.29810938;0.715914469;452
RABI;RAB066q;RABI;0.25ha;597918.6229;9787288.852;597879.6014;9787320.114;597949.885;9787327.873;597910.8635;9787359.135;344.9;249.2;505.6;314.4;221;487;299.8;216.9;434.1;23.86458496;20.49500084;0.46797438;9.509957432;27.13414624;0.597526377;480
RABI;RAB067q;RABI;0.25ha;597879.6014;9787320.114;597840.5798;9787351.376;597910.8635;9787359.135;597871.842;9787390.398;310.9;248;394.1;277.4;211.5;373.1;254.2;208.4;319.3;19.92299621;19.95000076;0.5029988;9.017812102;28.58741244;0.519912284;420
RABI;RAB068q;RABI;0.25ha;597840.5798;9787351.376;597801.5583;9787382.638;597871.842;9787390.398;597832.8205;9787421.66;196.1;168.2;232.1;165.5;138.8;197.3;165.2;141.7;193.3;20.00648327;19.38000298;0.552715655;7.253395576;18.01114967;0.620196089;476
RABI;RAB069q;RABI;0.25ha;597801.5583;9787382.638;597762.5368;9787413.9;597832.8205;9787421.66;597793.7989;9787452.922;563.5;417.1;773.1;522.8;364.7;791.4;474.3;365.1;647.1;28.09025789;29.00285721;0.205517793;8.3315377;37.12014773;0.648808586;468
RABI;RAB070q;RABI;0.25ha;597762.5368;9787413.9;597723.5153;9787445.162;597793.7989;9787452.922;597754.7774;9787484.184;416.3;335.9;525.7;372.4;289.2;493.6;352.8;283.7;434.8;27.68089868;29.09199905;0.216973579;8.648202517;32.50613144;0.596470508;520
RABI;RAB071q;RABI;0.25ha;598144.9926;9787171.563;598105.9711;9787202.825;598176.2547;9787210.584;598137.2332;9787241.846;282.9;219.6;374.1;250.9;188;348.5;240.8;190.6;322.1;17.26868206;16.26499939;0.729383507;6.203257673;24.5255342;0.570980849;484
RABI;RAB072q;RABI;0.25ha;598105.9711;9787202.825;598066.9496;9787234.087;598137.2332;9787241.846;598098.2117;9787273.108;327.4;266.2;406.7;279.2;228;353.4;278;232.9;339.9;23.85313311;23.63083649;0.3296;6.482372409;23.86589399;0.686215292;500
RABI;RAB073q;RABI;0.25ha;598066.9496;9787234.087;598027.9281;9787265.349;598098.2117;9787273.108;598059.1902;9787304.371;274.4;228.9;335.6;232.8;190.5;290.3;231.7;196.9;281;25.19429873;25.59499741;0.231045491;7.821196483;19.78018677;0.708554448;364
